square_feet,bedrooms,bathrooms,age_years,garage_size,neighborhood,school_district,has_pool,has_fireplace,has_basement,lot_size,price
2248.3570765056165,3,2.2526327383601092,4.4450524763435135,2,Downtown,Average,1,0,1,2.0,586782.6448953141
1930.8678494144076,3,1.8982748755275334,6.585012287567475,2,Historic,Average,0,1,1,2.0,512953.1166089096
2323.844269050346,4,2.7553396083353445,16.812601970236656,0,Suburbs,Good,0,0,0,2.0,537561.6969345568
2761.514928204013,4,3.572360356818516,0.9691153284549618,0,Suburbs,Average,0,1,1,2.0,562930.7496432777
1882.923312638332,2,1.0,3.545463529122623,1,Downtown,Excellent,0,0,0,2.0,523967.8419033726
1882.9315215254096,5,2.592020863317934,24.834084446345983,2,Waterfront,Average,0,1,0,2.0,547129.5230830977
2789.6064077536957,2,2.3718937635466877,2.383563061866493,1,Historic,Below_Average,0,1,0,2.0,538750.8949363785
2383.717364576454,4,3.0370720611603725,6.292969417013387,1,Historic,Good,1,1,0,2.0,553319.0770138034
1765.262807032524,4,2.6705573025901512,29.999357730551136,2,Waterfront,Good,0,0,0,2.0,516500.84934376506
2271.2800217929826,5,1.8984245346089446,2.5249539952754816,2,Downtown,Excellent,0,0,0,2.0,594270.7457373857
1768.291153593769,4,2.2447568514667053,1.2954129575855944,0,Downtown,Average,1,1,0,2.0,502580.4916952814
1767.1351232148716,5,1.8631793145572089,9.940375253060123,2,Downtown,Average,0,0,0,2.0,484057.5463736191
2120.981135783017,3,3.3608057108788785,5.402060638916838,2,Suburbs,Excellent,1,0,0,2.0,541023.953595816
1043.359877671101,5,2.517049318937554,12.431354899219077,2,Downtown,Good,1,0,1,2.0,468786.01783234545
1137.5410837434836,2,4.020952548602406,24.42968487259693,3,Suburbs,Good,1,1,0,2.0,400177.96393421636
1718.8562353795137,5,2.4514713489483033,2.2126899470207846,0,Suburbs,Average,0,0,1,2.0,421366.83184428065
1493.5844398327881,4,1.9332745864716299,13.037496623045444,1,New_Development,Average,0,1,1,2.0,417748.4698937557
2157.123666297637,5,1.2890284859097383,10.563387655922895,2,Waterfront,Excellent,0,0,1,2.0,639841.965601682
1545.9879622393946,4,1.057488258995244,2.3336542021703623,2,Historic,Average,0,0,1,2.0,434696.04499711696
1293.8481493323543,4,1.232691245595608,14.67243161627855,2,Waterfront,Average,0,1,1,2.0,498941.4720729675
2732.824384460777,4,2.7137013208091867,4.795651418568666,2,Downtown,Good,0,0,0,2.0,638358.2797234989
1887.1118497567322,4,2.906980018583947,10.036606645424834,2,Waterfront,Excellent,0,0,1,2.0,610807.8984781827
2033.764102343962,2,1.235047438374293,1.2878187286516203,3,Suburbs,Average,0,1,1,2.0,509858.09946803603
1287.6259068932716,2,3.2160306512608923,9.231242572589874,3,Waterfront,Below_Average,1,1,1,2.0,478817.8952285584
